Brand,Model,Type,Gender,Size,Color,Material,Price,Initial Price,Discount (%),Price Category,Color Diversity Score,Is Just In,Is Best Seller,Is Coming Soon,Is Member Product,Is Sustainable Materials,Is Launching in SNKRS,Is Sold Out,Is Available in SNKRS,Is Customize,Marketing Appeal Score,Sale Quantity
Nike,React Infinity Run 2,Running,Women,US 7.5,Grey,Mesh,180.85851046499238,193.59263847739072,6.577795577637905,3,4,1,0,0,1,0,1,0,0,0,2,649
Adidas,Superstar,Casual,Women,US 7,White/Black,Leather,88.92476734097438,130.27516104033867,31.74081180875337,1,4,1,1,0,0,1,1,1,1,0,4,770
Puma,Calibrate Runner,Running,Women,US 7,Grey,Mesh,228.5116454972949,249.94197848100313,8.574123128075124,4,4,1,0,1,0,1,0,0,1,0,6,741
Asics,Gel-Kahana 8,Running,Men,US 8,Grey,Mesh,144.4986710013027,171.80934618527323,15.895919395746743,2,4,0,0,1,0,1,0,1,0,0,7,769
Puma,Cali Sport,Lifestyle,Women,US 9.5,White,Leather,66.69281699787666,104.11057232675273,35.940399224240004,1,1,1,1,1,0,0,0,1,1,0,1,834
Adidas,Yeezy Boost 350,Lifestyle,Men,US 10,Black,Primeknit,231.84404117231202,255.1422874582605,9.13147190065854,4,2,0,0,1,1,1,0,1,1,0,8,626
Vans,Era,Skate,Women,US 6.5,Black,Canvas,119.61911863365762,131.88254487952625,9.298748562268933,2,2,1,0,0,1,0,0,1,1,0,1,429
Nike,Air Force 1,Casual,Men,US 10,White,Leather,142.78649733766724,167.74333921817978,14.877992769687129,2,4,0,0,1,0,0,0,1,0,1,9,70
Skechers,Go Walk 5,Walking,Women,US 7,Black,Mesh,67.8579049051146,115.63584821288673,41.31758796788732,1,1,0,0,0,1,0,1,0,1,0,4,999
Skechers,Max Cushioning Elite,Walking,Women,US 8,Navy,Mesh,155.47992442453528,191.1493003164776,18.660479443495774,3,2,1,1,0,0,1,1,0,1,0,7,928
Reebok,Nano X1,CrossFit,Men,US 10,Black/White,Mesh,74.96416279336967,111.82332874005795,32.96196452206345,1,2,0,0,0,1,0,1,1,1,0,6,226
Adidas,NMD_R1,Casual,Men,US 9,Black/White,Primeknit,110.25305215200007,145.54433829750565,24.247790438517118,2,2,1,1,0,0,1,0,1,0,0,9,412
Vans,SK8-Hi,Skate,Women,US 7,Black/White,Suede/Canvas,66.03600281638069,83.99568837475816,21.381675542972992,1,1,0,0,1,1,0,0,1,0,0,2,71
Converse,All Star,Casual,Men,US 9,Navy,Canvas,95.54994722064191,122.28330178473311,21.861819376739156,1,4,0,1,0,1,1,1,1,0,1,7,886
New Balance,574,Casual,Men,US 10,Navy,Suede/Mesh,129.19409453249096,169.23168646702368,23.658448822664425,2,4,1,1,1,0,1,0,0,1,1,5,597
New Balance,327,Lifestyle,Men,US 8.5,Blue/Orange,Suede/Nylon,113.77336366422776,127.82827956635413,10.995153771768186,2,4,0,0,0,0,0,0,1,0,1,7,299
Fila,Trailblazer,Fashion,Women,US 8,White/Pink,Leather,90.403133680498,111.5172447240865,18.9334941836382,1,3,1,1,1,0,1,0,1,1,1,1,710
