Title,Subtitle,Price,Initial Price,Discount (%),Color,Color Description,Badge,Discount Amount,Discount Flag,Price Category,Color Diversity Score,Is Just In,Is Best Seller,Is Coming Soon,Is Member Product,Is Sustainable Materials,Is Launching in SNKRS,Is Sold Out,Is Available in SNKRS,Is Customize,Color_Black,Color_Blue,Color_Brown,Color_Cream,Color_Green,Color_Grey,Color_Khaki,Color_Multi-Color,Color_Orange,Color_Pink,Color_Purple,Color_Red,Color_White,Color_Yellow,Dominant Color,Title Word Count,Subtitle Word Count,Marketing Appeal Score,Sale Quantity
Nike C1TY,Shoes,100.0,100,0,Pink,Red Stardust/Canyon Rust/Burgundy Crush/Black,Just In,0.0,0,1,4,1,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Red Stardust,2,1,8,69
Nike C1TY,Shoes,100.0,100,0,Grey,Smoke Grey/Medium Ash/Aquarius Blue/Summit White,Just In,0.0,0,1,4,1,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Smoke Grey,2,1,9,810
Nike C1TY,Men's Shoes,100.0,100,0,Orange,Safety Orange/Cosmic Clay/Black/Summit White,Just In,0.0,0,1,4,1,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Safety Orange,2,2,10,421
Nike C1TY,Shoes,100.0,100,0,Brown,Desert Khaki/Parachute Beige/University Gold/Black,Just In,0.0,0,1,4,1,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Desert Khaki,2,1,9,61
Nike C1TY,Shoes,100.0,100,0,Brown,Soft Pearl/Light Khaki/Lightning/Black,,0.0,0,1,4,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Soft Pearl,2,1,4,995
Nike C1TY “Safety Cone”,Shoes,100.0,100,0,Grey,Platinum Tint/Light Iron Ore/Safety Orange/White,,0.0,0,1,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Platinum Tint,4,1,2,481
Nike C1TY “Street Meat”,Shoes,100.0,100,0,Brown,Baroque Brown/Velvet Brown/Hemp/Black,,0.0,0,1,4,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Baroque Brown,4,1,4,122
"Nike C1TY ""Coveralls”",Shoes,100.0,100,0,Blue,Obsidian/Thunder Blue/Fire Red/Summit White,,0.0,0,1,4,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Obsidian,3,1,10,372
Nike C1TY,Shoes,100.0,100,0,Black,Black/Stadium Green/Summit White,,0.0,0,1,3,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,2,1,7,771
Nike C1TY “Concrete”,Shoes,100.0,100,0,Grey,Cement Grey/Sky Grey/Viotech/Summit White,,0.0,0,1,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Cement Grey,3,1,2,632
