Title,Subtitle,Price,Initial Price,Discount (%),Color,Color Description,Badge,Discount Amount,Discount Flag,Price Category,Color Diversity Score,Is Just In,Is Best Seller,Is Coming Soon,Is Member Product,Is Sustainable Materials,Is Launching in SNKRS,Is Sold Out,Is Available in SNKRS,Is Customize,Color_Black,Color_Blue,Color_Brown,Color_Cream,Color_Green,Color_Grey,Color_Khaki,Color_Multi-Color,Color_Orange,Color_Pink,Color_Purple,Color_Red,Color_White,Color_Yellow,Dominant Color,Title Word Count,Subtitle Word Count,Marketing Appeal Score
Nike C1TY,Shoes,100,100,0,Pink,Red Stardust/Canyon Rust/Burgundy Crush/Black,Just In,0,0,1,4,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Red Stardust,2,1,0
Nike C1TY,Shoes,100,100,0,Grey,Smoke Grey/Medium Ash/Aquarius Blue/Summit White,Just In,0,0,1,4,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Smoke Grey,2,1,0
Nike C1TY,Men's Shoes,100,100,0,Orange,Safety Orange/Cosmic Clay/Black/Summit White,Just In,0,0,1,4,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Safety Orange,2,2,0
Nike C1TY,Shoes,100,100,0,Brown,Desert Khaki/Parachute Beige/University Gold/Black,Just In,0,0,1,4,1,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desert Khaki,2,1,0
Nike C1TY,Shoes,100,100,0,Brown,Soft Pearl/Light Khaki/Lightning/Black,,0,0,1,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Soft Pearl,2,1,0
Nike C1TY “Safety Cone”,Shoes,100,100,0,Grey,Platinum Tint/Light Iron Ore/Safety Orange/White,,0,0,1,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Platinum Tint,4,1,0
Nike C1TY “Street Meat”,Shoes,100,100,0,Brown,Baroque Brown/Velvet Brown/Hemp/Black,,0,0,1,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Baroque Brown,4,1,0
"Nike C1TY ""Coveralls”",Shoes,100,100,0,Blue,Obsidian/Thunder Blue/Fire Red/Summit White,,0,0,1,4,0,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Obsidian,3,1,0
Nike C1TY,Shoes,100,100,0,Black,Black/Stadium Green/Summit White,,0,0,1,3,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Black,2,1,0
Nike C1TY “Concrete”,Shoes,100,100,0,Grey,Cement Grey/Sky Grey/Viotech/Summit White,,0,0,1,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Cement Grey,3,1,0
Nike C1TY,Shoes,100,100,0,White,Summit White/Fire Red/Black,,0,0,1,3,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Summit White,2,1,0
Nike C1TY “Skyline”,Shoes,100,100,0,White,Summit White/Pure Platinum/University Blue/White,,0,0,1,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Summit White,3,1,0
Nike C1TY “Brownstone”,Shoes,100,100,0,Brown,Flax/Sesame/Stadium Green/Black,,0,0,1,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Flax,3,1,0
Nike C1TY “Surplus”,Shoes,100,100,0,Green,Light Army/Cargo Khaki/University Gold/Black,,0,0,1,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Light Army,3,1,0
Nike Dunk Low Retro SE,Men's Shoes,125,125,0,Black,Black/Anthracite/Gum Light Brown/Pale Ivory,Best Seller,0,0,2,4,0,1,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Black,5,2,0
