,Discount Amount,Discount Flag,Price Category,Color Diversity Score,Is Just In,Is Best Seller,Is Coming Soon,Is Member Product,Is Sustainable Materials,Is Launching in SNKRS,Is Sold Out,Is Available in SNKRS,Is Customize,Title Word Count,Subtitle Word Count,Marketing Appeal Score,Sale Quantity
0,0.0,0,1,4,1,0,0,0,0,0,0,0,0,2,1,8,69
1,0.0,0,1,4,1,0,0,0,0,0,0,0,0,2,1,9,810
2,0.0,0,1,4,1,0,0,0,0,0,0,0,0,2,2,10,421
3,0.0,0,1,4,1,0,0,0,0,0,0,0,0,2,1,9,61
4,0.0,0,1,4,0,0,0,0,0,0,0,0,0,2,1,4,995
5,0.0,0,1,4,0,0,0,0,0,0,0,0,0,4,1,2,481
6,0.0,0,1,4,0,0,0,0,0,0,0,0,0,4,1,4,122
7,0.0,0,1,4,0,0,0,0,0,0,0,0,0,3,1,10,372
8,0.0,0,1,3,0,0,0,0,0,0,0,0,0,2,1,7,771
9,0.0,0,1,4,0,0,0,0,0,0,0,0,0,3,1,2,632
10,0.0,0,1,3,0,0,0,0,0,0,0,0,0,2,1,7,937
11,0.0,0,1,4,0,0,0,0,0,0,0,0,0,3,1,8,915
12,0.0,0,1,4,0,0,0,0,0,0,0,0,0,3,1,9,64
13,0.0,0,1,4,0,0,0,0,0,0,0,0,0,3,1,8,906
14,0.0,0,2,4,0,1,0,0,0,0,0,0,0,5,2,9,922
15,0.0,0,2,4,0,1,0,0,0,0,0,0,0,5,2,9,818
16,0.0,0,2,4,0,1,0,0,0,0,0,0,0,5,2,8,933
17,0.0,0,2,4,0,0,1,0,0,0,0,0,0,4,2,2,586
18,0.0,0,2,4,0,0,1,0,0,0,0,0,0,5,2,8,644
19,0.0,0,2,4,1,0,0,0,0,0,0,0,0,4,2,7,151
20,0.0,0,2,4,1,0,0,0,0,0,0,0,0,4,2,8,20
21,0.0,0,2,2,0,1,0,0,0,0,0,0,0,4,2,10,810
22,0.0,0,2,4,0,0,0,0,0,0,0,0,0,4,2,7,649
23,0.0,0,2,4,0,1,0,0,0,0,0,0,0,4,2,8,845
24,0.0,0,2,4,0,0,0,0,0,0,0,0,0,4,2,3,452
25,0.0,0,2,4,1,0,0,0,0,0,0,0,0,4,2,2,97
26,0.0,0,2,4,0,0,0,0,0,0,0,0,0,5,2,8,181
27,0.0,0,2,4,1,0,0,0,0,0,0,0,0,4,2,1,114
28,0.0,0,2,4,0,0,0,0,0,0,0,0,0,4,2,3,86
29,0.0,0,2,3,0,0,0,0,0,0,0,0,0,4,2,3,42
